Host Response Time,Host Response Rate,Host Listings Count,Host Total Listings Count,Accommodates,Bathrooms,Bedrooms,Beds,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 30,Availability 60,Availability 90,Availability 365,Number of Reviews,Review Scores Rating,Review Scores Accuracy,Review Scores Cleanliness,Review Scores Checkin,Review Scores Communication,Review Scores Location,Review Scores Value,Calculated host listings count,Reviews per Month,total_words,house_rules_words,days_since_calendar_updated,days_host_since,days_since_last_scraped,days_since_first_review,days_since_last_review,season,host_verified,distance_km,neighbourhood_price,has_weekly_price,has_monthly_price,Property Type_price_encoded,Room Type_price_encoded,Bed Type_price_encoded,total_amenities,amenity_wireless_internet,amenity_internet,amenity_kitchen,amenity_heating,amenity_essentials,amenity_washer,amenity_tv,amenity_hot_tub,amenity_pool,amenity_gym,amenity_cable_tv,amenity_free_parking_on_premises,amenity_pets_allowed,cancellation_price_encoded
999,0.0,1.0,1.0,3,1.0,1.0,1.0,999999.0,999999.0,0.0,30.0,1,0,2,1125,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.1,345,243,1,330,1,299,299,1,1,1.7994198417486773,100.0,0,0,55.0,72.0,52.0,23,1,1,1,1,1,1,1,1,0,0,0,1,0,55.0
1,0.98,3.0,3.0,2,2.0,1.0,1.0,999999.0,999999.0,150.0,10.0,2,0,1,1125,10,31,61,336,31,91.0,10.0,10.0,10.0,10.0,10.0,9.0,3.0,4.29,227,112,1,716,1,217,7,1,1,0.5638320833513519,70.0,0,0,49.5,29.0,52.0,10,1,1,1,1,1,0,0,0,0,0,0,0,0,60.0
1,1.0,4.0,4.0,1,1.0,1.0,1.0,999999.0,999999.0,100.0,8.0,1,0,60,300,7,37,67,157,9,91.0,10.0,9.0,10.0,10.0,10.0,10.0,4.0,0.99,298,0,1,553,1,274,100,1,1,0.36511934835406135,78.0,0,0,55.0,29.0,52.0,18,1,1,1,1,1,1,0,0,0,0,0,0,0,60.0
3,1.0,2.0,2.0,1,1.0,1.0,1.0,999999.0,999999.0,0.0,10.0,1,0,1,1125,0,0,6,281,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,65,0,1,615,1,999,999,1,1,3.384764708210558,22.0,0,0,31.0,29.0,52.0,19,1,1,1,0,1,1,1,0,0,0,0,0,1,40.0
1,1.0,1.0,1.0,4,1.0,1.0,1.0,360.0,1450.0,100.0,25.0,2,15,3,60,4,13,34,276,208,92.0,9.0,9.0,10.0,9.0,10.0,9.0,1.0,3.29,331,808,1,1914,1,1896,6,1,1,0.7655411498235611,60.0,1,1,55.0,72.0,52.0,12,1,1,1,1,1,1,1,0,0,0,0,0,0,40.0
1,1.0,4.0,4.0,1,1.0,1.0,1.0,999999.0,999999.0,100.0,8.0,1,0,3,300,16,46,76,290,11,89.0,9.0,9.0,10.0,9.0,10.0,9.0,4.0,1.58,145,242,2,553,1,209,70,1,1,0.724781881716272,60.0,0,0,55.0,29.0,52.0,13,1,1,1,1,1,1,0,0,0,0,0,0,0,60.0
1,0.6,1.0,1.0,5,1.0,2.0,2.0,999999.0,999999.0,0.0,30.0,1,0,1,1125,25,53,83,173,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,51,201,1,270,1,999,999,1,1,2.7535825974113233,34.0,0,0,55.0,72.0,52.0,28,1,1,1,1,1,1,1,1,1,1,0,1,0,40.0
3,0.8,1.0,1.0,4,1.0,1.0,2.0,320.0,1200.0,0.0,15.0,2,10,4,363,0,10,27,222,32,85.0,9.0,8.0,9.0,9.0,10.0,9.0,1.0,1.89,95,0,2,594,1,507,9,1,1,2.9182535787240473,89.0,1,1,55.0,72.0,52.0,14,1,1,1,0,0,1,1,0,0,0,1,0,0,40.0
999,0.0,1.0,1.0,1,1.0,1.0,1.0,250.0,700.0,300.0,5.0,1,10,1,10,30,60,90,365,3,80.0,10.0,7.0,9.0,10.0,9.0,9.0,1.0,0.22,100,0,1,560,1,406,313,1,1,4.753077985153729,50.0,1,1,55.0,29.0,52.0,15,1,1,1,1,1,1,0,0,0,0,0,0,1,40.0
1,0.98,9.0,9.0,2,1.0,0.0,1.0,999999.0,999999.0,0.0,20.0,1,0,1,1125,1,7,35,35,36,93.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,4.5,108,0,1,1399,1,240,16,1,1,1.0613073174232377,50.0,0,0,55.0,72.0,52.0,13,1,1,1,1,1,1,1,0,0,0,0,0,0,60.0
